# Simulation 1 (Data loaded from a file)
# 359 data points written for 58 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Interstage"
#
# Altitude (m),Altitude above sea level (m),Latitude (° N),Longitude (° E),Thrust-to-weight ratio (​),Wind direction (°),Air density (g/cm³),Time (​),Vertical velocity (​),Total velocity (​),Vertical acceleration (​),Total acceleration (​),Position East of launch (​),Position North of launch (​),Lateral distance (​),Lateral direction (​),Lateral velocity (​),Lateral acceleration (​),Angle of attack (​),Roll rate (​),Pitch rate (​),Yaw rate (​),Vertical orientation (zenith) (​),Lateral orientation (azimuth) (​),Mass (​),Motor mass (​),Longitudinal moment of inertia (​),Rotational moment of inertia (​),Gravitational acceleration (​),CP location (​),CG location (​),Stability margin calibers (​),Thrust (​),Drag force (​),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (​),Air temperature (​),Air pressure (​),Speed of sound (​),Mach number (​),Reynolds number (​),Reference length (​),Reference area (​),Simulation time step (​),Computation time (​),Coriolis acceleration (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
# Event LIFTOFF occurred at t=0.067 seconds
# Event LAUNCHROD occurred at t=0.36 seconds
# Event BURNOUT occurred at t=1.535 seconds
# Event EJECTION_CHARGE occurred at t=1.535 seconds
# Event STAGE_SEPARATION occurred at t=1.535 seconds
# Event IGNITION occurred at t=1.535 seconds
# Event BURNOUT occurred at t=3.07 seconds
# Event EJECTION_CHARGE occurred at t=3.07 seconds
# Event APOGEE occurred at t=11.091 seconds
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=11.092 seconds
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=39.936 seconds
# Event GROUND_HIT occurred at t=64.194 seconds
# Event SIMULATION_END occurred at t=64.194 seconds
8.313,8.313,32.367,-106.83,7.49,90.012,0.001,0.557,32.703,32.704,61.655,61.665,-0.039,-7.023e-9,0.039,4.712,0.255,1.123,0.018,0,0.297,-1.078e-6,1.539,1.571,2.442,0.486,0.636,0.007,9.795,1.533,1.312,2.167,179.149,4.679,0.877,0.416,0.339,0.121,0.88,0.528,0.907,6.902e-5,0,0,0,0,0.238,1.893,288.096,1.012e5,340.356,0.096,4.537e6,0.102,0.008,0.013,0.009,0.004
8.756,8.756,32.367,-106.83,7.458,90.012,0.001,0.57,33.526,33.527,61.235,61.256,-0.042,9.164e-9,0.042,4.712,0.237,1.57,0.015,0,0.306,2.142e-6,1.535,1.571,2.439,0.482,0.636,0.007,9.795,1.534,1.312,2.186,178.151,4.913,0.877,0.416,0.339,0.121,0.879,0.426,0.691,-9.514e-5,0,0,0,0,0.241,1.935,288.093,1.012e5,340.354,0.099,4.652e6,0.102,0.008,0.02,0.009,0.004
9.442,9.442,32.367,-106.83,7.4,90.012,0.001,0.59,34.749,34.75,60.484,60.527,-0.046,3.633e-8,0.046,4.712,0.198,2.275,0.01,0,0.316,4.95e-6,1.529,1.571,2.434,0.478,0.635,0.007,9.795,1.536,1.311,2.214,176.394,5.273,0.877,0.416,0.339,0.121,0.878,0.278,0.376,1.651e-4,0,0,0,0,0.239,1.999,288.089,1.012e5,340.352,0.102,4.821e6,0.102,0.008,0.04,0.009,0.004
10.877,10.877,32.367,-106.83,7.282,90.012,0.001,0.63,37.132,37.132,58.929,59.072,-0.052,8.337e-8,0.052,4.712,0.072,4.104,0.004,0,-0.314,1.186e-5,1.516,1.571,2.424,0.468,0.632,0.007,9.795,1.539,1.31,2.251,172.906,6.017,0.877,0.416,0.339,0.122,0.877,0.118,0.473,-2.57e-4,0,0,0,0,-0.207,1.958,288.079,1.012e5,340.346,0.109,5.151e6,0.102,0.008,0.06,0.01,0.005
13.21,13.21,32.367,-106.83,7.185,90.012,0.001,0.69,40.619,40.62,57.289,57.658,-0.047,-1.995e-8,0.047,4.712,0.252,6.508,0.017,0,-0.247,-9.15e-6,1.499,1.571,2.41,0.454,0.629,0.007,9.795,1.533,1.308,2.218,169.607,7.226,0.878,0.416,0.34,0.122,0.88,0.491,1.195,-4.003e-4,0,0,0,0,-0.106,1.988,288.064,1.012e5,340.337,0.12,5.635e6,0.102,0.008,0.044,0.01,0.005
15.056,15.056,32.367,-106.83,7.056,90.012,0.001,0.734,43.105,43.109,55.507,56.043,-0.029,-5.355e-7,0.029,4.712,0.568,7.733,0.022,-1.86e-8,-0.164,6.186e-6,1.49,1.571,2.4,0.444,0.627,0.007,9.795,1.531,1.306,2.214,165.862,8.158,0.878,0.416,0.34,0.122,0.882,0.628,1.434,2.04e-4,0,0,0,0,-0.042,2.005,288.052,1.011e5,340.33,0.127,5.981e6,0.102,0.008,0.016,0.01,0.005
15.749,15.749,32.367,-106.83,7.009,90.012,0.001,0.75,43.983,43.989,54.869,55.452,-0.019,-8.774e-7,0.019,4.712,0.693,8.023,0.022,-1.873e-8,-0.129,2.447e-6,1.487,1.571,2.396,0.44,0.626,0.007,9.795,1.531,1.306,2.217,164.51,8.499,0.878,0.416,0.34,0.122,0.883,0.65,1.465,-4.084e-4,0,0,0,0,-0.025,2.004,288.048,1.011e5,340.327,0.129,6.103e6,0.102,0.008,0.024,0.011,0.005
16.814,16.814,32.367,-106.83,6.92,90.012,0.001,0.774,45.28,45.288,53.761,54.37,-4.164e-4,-1.546e-6,4.164e-4,4.709,0.886,8.113,0.021,-1.481e-8,-0.074,7.723e-6,1.485,1.571,2.391,0.435,0.625,0.007,9.795,1.532,1.305,2.229,162.07,9.009,0.879,0.416,0.34,0.122,0.883,0.618,1.385,-1.551e-4,0,0,0,0,-0.008,2.048,288.041,1.011e5,340.323,0.133,6.284e6,0.102,0.008,0.036,0.011,0.006
18.485,18.485,32.367,-106.83,6.785,90.012,0.001,0.81,47.192,47.207,52.117,52.701,0.037,-2.892e-6,0.037,1.571,1.175,7.822,0.018,-1.215e-8,0.006,1.088e-5,1.484,1.571,2.383,0.427,0.623,0.007,9.795,1.533,1.304,2.255,158.375,9.782,0.879,0.416,0.341,0.123,0.882,0.519,1.169,4.336e-5,0,0,0,0,5.386e-5,2.099,288.03,1.011e5,340.316,0.139,6.55e6,0.102,0.008,0.033,0.011,0.006
20.071,20.071,32.367,-106.83,6.679,90.012,0.001,0.843,48.891,48.912,50.814,51.323,0.08,-4.412e-6,0.08,1.571,1.425,7.209,0.014,-6.643e-9,0.071,8.997e-6,1.485,1.571,2.376,0.42,0.621,0.007,9.795,1.535,1.303,2.282,155.428,10.493,0.879,0.416,0.341,0.123,0.881,0.399,0.903,-1.399e-5,0,0,0,0,0.006,2.103,288.02,1.011e5,340.31,0.144,6.787e6,0.102,0.008,0.027,0.012,0.006
